-4.7, 4, 0
-3.7, 4, 0
-2.7,4,0
-1.6,4,0
-0.59,4,0
0.45,4,0
1.5,4,0
2.5,4,0
3.6,4,0
4.6,4,0
5.6,4,0
-4.7,3.2,0
-3.7,3.2,0
-2.7,3.2,0
-1.6,3.2,0
-0.59,3.2,0
0.45,3.2,0
1.5,3.2,0
2.5,3.2,0
3.6,3.2,0
4.6,3.2,0
5.6,3.2,0
-4.7,2.5,0
-3.7,2.5,0
-2.7,2.5,0
-1.6,2.5,0
-0.59,2.5,0
0.45,2.5,0
1.5,2.5,0
2.5,2.5,0
3.6,2.5,0
4.6,2.5,0
5.6,2.5,0
-4.7,1.8,0
-3.7,1.8,0
-2.7,1.8,0
-1.6,1.8,0
-0.59,1.8,0
0.45,1.8,0
1.5,1.8,0
2.5,1.8,0
3.6,1.8,0
4.6,1.8,0
5.6,1.8,0
-4.7,1,0
-3.7,1,0
-2.7,1,0
-1.6,1,0
-0.59,1,0
0.45,1,0
1.5,1,0
2.5,1,0
3.6,1,0
4.6,1,0
5.6,1,0
-4.7,0.29,0
-3.7,0.29,0
-2.7,0.29,0
-1.6,0.29,0
-0.59,0.29,0
0.45,0.29,0
1.5,0.29,0
2.5,0.29,0
3.6,0.29,0
4.6,0.29,0
5.6,0.29,0
-4.7,-0.45,0
-3.7,-0.45,0
-2.7,-0.45,0
-1.6,-0.45,0
-0.59,-0.45,0
0.45,-0.45,0
1.5,-0.45,0
2.5,-0.45,0
3.6,-0.45,0
4.6,-0.45,0
5.6,-0.45,0
-4.7,-1.2,0
-3.7,-1.2,0
-2.7,-1.2,0
-1.6,-1.2,0
-0.59,-1.2,0
0.45,-1.2,0
1.5,-1.2,0
2.5,-1.2,0
3.6,-1.2,0
4.6,-1.2,0
5.6,-1.2,0
-4.7,-1.9,0
-3.7,-1.9,0
-2.7,-1.9,0
-1.6,-1.9,0
-0.59,-1.9,0
0.45,-1.9,0
1.5,-1.9,0
2.5,-1.9,0
3.6,-1.9,0
4.6,-1.9,0
5.6,-1.9,0
-4.7,-2.7,0
-3.7,-2.7,0
-2.7,-2.7,0
-1.6,-2.7,0
-0.59,-2.7,0
0.45,-2.7,0
1.5,-2.7,0
2.5,-2.7,0
3.6,-2.7,0
4.6,-2.7,0
5.6,-2.7,0
-4.7,-3.4,0
-3.7,-3.4,0
-2.7,-3.4,0
-1.6,-3.4,0
-0.59,-3.4,0
0.45,-3.4,0
1.5,-3.4,0
2.5,-3.4,0
3.6,-3.4,0
4.6,-3.4,0
5.6,-3.4,0
-4.7,-3.4,8.9
-3.7,-3.4,8.9
-2.7,-3.4,8.9
-1.6,-3.4,8.9
-0.59,-3.4,8.9
0.45,-3.4,8.9
1.5,-3.4,8.9
2.5,-3.4,8.9
